"absolute_panel","panel_id","page","panel_on_page","scene","scene_name","act_layer","board_geometry","gradient_band","panel_role","visual_meaning","allowed_language","visual_focus","prompt_seed","source_image","render_mode","jp2a_width","jp2a_chars","curation_notes"
"1","B1-P01-F1","1","1","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Establish","sets the page condition","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Establish; sets the page condition","","mark","","",""
"2","B1-P01-F2","1","2","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Disturb","introduces the interruption","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Disturb; introduces the interruption","","mark","","",""
"3","B1-P01-F3","1","3","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Answer","shows how darkness/crate responds","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Answer; shows how darkness/crate responds","","mark","","",""
"4","B1-P01-F4","1","4","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Transform","shows the change beginning","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Transform; shows the change beginning","","mark","","",""
"5","B1-P01-F5","1","5","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Clarify","makes one element more readable","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Clarify; makes one element more readable","","mark","","",""
"6","B1-P01-F6","1","6","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Hand-off","points toward the next page","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Hand-off; points toward the next page","","mark","","",""
"7","B1-P02-F1","2","1","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Establish","sets the page condition","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Establish; sets the page condition","","mark","","",""
"8","B1-P02-F2","2","2","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Disturb","introduces the interruption","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Disturb; introduces the interruption","","mark","","",""
"9","B1-P02-F3","2","3","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Answer","shows how darkness/crate responds","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Answer; shows how darkness/crate responds","","mark","","",""
"10","B1-P02-F4","2","4","1","Point","Act One: Mystery / Birth","empty field","G00 total black","Transform","shows the change beginning","marks/symbols only","black-on-black dot or point awareness in empty hidden crate interior","Act One: Mystery / Birth; empty field; black-on-black dot or point awareness in empty hidden crate interior; G00 total black; Transform; shows the change beginning","","mark","","",""
